Domain,Registrar,Creation_Date,Update_Date,SSL_Issuer,SSL_TTL,First octet,Second octet,Third octet,Fourth octet,NumOfIPs,TXTRecord,SPF,MX,DKIM,DMARC,AS,HTTP_Status,Server,Entropy,Vowel_Ratio,Consonant_Ratio,Numerical_Ratio,Special_Char_Ratio,Vowel_Sequence,Consonant_Sequence,Numerical_Sequence,Special_Char_Sequence,Is_Unicode,Levenshtein_Distance,Location,Class
kupterychlo.sk,Gransy s.r.o.,4.0,2.0,Google Trust Services,79,104,21,48,231,2,1,1,1,1,1,13335,200,cloudflare,3.66,0.29,0.64,0.0,0.0,1,3,0,0,False,7,Canada,1
tamarislovenskos.sk,Gransy s.r.o.,4.0,2.0,Let's Encrypt,36,196,245,153,203,1,0,0,0,0,0,41564,200,Apache,3.51,0.32,0.63,0.0,0.0,1,3,0,0,False,8,Slovakia,1
tommyhilfigerbunda.sk,NETIM,4.0,3.0,ZeroSSL,40,158,222,4,3,1,0,0,0,0,0,63119,403,Apache/2,4.2,0.33,0.62,0.0,0.0,1,2,0,0,False,14,Seychelles,1
expert4u.blog.pravda.sk,"Webglobe, a.s.",4.0,3.0,DigiCert Inc,180,185,65,220,36,1,0,0,0,0,0,48689,200,Apache/2.4.52 (Ubuntu),3.97,0.26,0.57,0.04,0.0,1,2,1,0,False,14,Slovakia,1
calzadonna.sk,Key-Systems GmbH,4.0,1.0,None,0,5,22,145,121,2,0,0,0,0,1,16509,200,cloudflare,3.18,0.31,0.62,0.0,0.0,1,2,0,0,False,7,Germany,1
reebokonline.sk,NETIM,4.0,3.0,Google Trust Services,49,104,21,60,19,2,0,0,0,0,0,13335,403,cloudflare,3.19,0.4,0.53,0.0,0.0,2,2,0,0,False,7,Canada,1
desiguals.sk,Gransy s.r.o.,3.0,3.0,Let's Encrypt,49,196,247,29,9,1,0,0,0,0,0,41564,200,Apache,3.19,0.33,0.58,0.0,0.0,2,2,0,0,False,6,United States,1
polenesk.sk,Gransy s.r.o.,3.0,3.0,Google Trust Services,80,104,21,16,1,7,0,0,0,0,0,13335,200,cloudflare,2.91,0.27,0.64,0.0,0.0,1,2,0,0,False,6,Canada,1
merrellvypredaj.sk,Gransy s.r.o.,4.0,3.0,Let's Encrypt,52,196,245,153,216,1,0,0,0,0,0,41564,200,Apache,3.53,0.28,0.67,0.0,0.0,1,3,0,0,False,7,Slovakia,1
eccoeshopsk.sk,Gransy s.r.o.,3.0,3.0,Google Trust Services,86,104,21,32,1,7,0,0,0,0,0,13335,403,cloudflare,2.9,0.29,0.64,0.0,0.0,2,3,0,0,False,8,Canada,1
gymsharkskeurope.sk,Gransy s.r.o.,3.0,3.0,Let's Encrypt,76,165,231,154,51,1,0,0,0,0,0,58065,200,Apache,3.54,0.32,0.63,0.0,0.0,2,4,0,0,False,11,United States,1
stevemaddenbratislava.sk,NETIM,4.0,3.0,ZeroSSL,57,196,244,195,16,1,0,0,0,0,0,41564,403,Apache/2,3.61,0.33,0.62,0.0,0.0,1,3,0,0,False,15,Singapore,1
basetooks.sk,Gransy s.r.o.,4.0,2.0,Let's Encrypt,81,91,240,20,64,1,1,1,1,0,0,59939,200,nginx,2.86,0.33,0.58,0.0,0.0,2,2,0,0,False,6,The Netherlands,1
hokaoneonetenisky.sk,"WebHouse, s.r.o.",3.0,3.0,Google Trust Services,37,172,67,214,238,2,0,0,0,0,0,13335,403,cloudflare,3.27,0.45,0.5,0.0,0.0,2,2,0,0,False,12,Canada,1
khujobunda.sk,Gransy s.r.o.,3.0,3.0,Google Trust Services,82,172,67,158,146,2,0,0,0,0,0,13335,200,cloudflare,3.39,0.31,0.62,0.0,0.0,1,2,0,0,False,7,Canada,1
topanky-obuv.sk,Gransy s.r.o.,4.0,3.0,Let's Encrypt,35,77,78,104,3,1,1,1,1,0,1,15685,200,nginx,3.64,0.33,0.53,0.0,0.07,1,2,0,1,False,8,Czechia,1
prosluzby.sk,"ACTIVE 24, s.r.o.",4.0,1.0,Let's Encrypt,87,31,15,10,167,1,1,1,1,0,0,25234,200,nginx,3.42,0.25,0.67,0.0,0.0,1,2,0,0,False,7,Czechia,1
dcshoesslovensko.sk,Gransy s.r.o.,3.0,3.0,Let's Encrypt,80,165,231,190,74,1,0,0,0,0,0,58065,200,Apache,3.18,0.26,0.68,0.0,0.0,2,4,0,0,False,8,Estonia,1
on-running-sk.sk,Gransy s.r.o.,3.0,3.0,Google Trust Services,84,172,67,188,75,2,0,0,0,0,0,13335,200,cloudflare,3.12,0.19,0.62,0.0,0.12,1,2,0,1,False,6,Canada,1
