Domain,Registrar,Creation_Date,Update_Date,SSL_Issuer,SSL_TTL,First octet,Second octet,Third octet,Fourth octet,NumOfIPs,TXTRecord,SPF,MX,DKIM,DMARC,AS,HTTP_Status,Server,Entropy,Vowel_Ratio,Consonant_Ratio,Numerical_Ratio,Special_Char_Ratio,Vowel_Sequence,Consonant_Sequence,Numerical_Sequence,Special_Char_Sequence,Is_Unicode,Levenshtein_Distance,Location,Class
hoteljavorna.sk,Websupport s.r.o.,4.0,3.0,Let's Encrypt,43,37,9,175,132,1,1,1,1,0,0,51013,200,openresty,3.64,0.33,0.6,0.0,0.0,1,2,0,0,False,1,Slovakia,0
auparkkosice.sk,"Webglobe, a.s.",4.0,1.0,Let's Encrypt,69,57,153,167,86,1,1,1,1,0,1,8075,200,nginx,3.32,0.4,0.53,0.0,0.0,2,3,0,0,False,1,Netherlands,0
zvolen.sk,"WEBY GROUP, s.r.o.",4.0,2.0,Let's Encrypt,74,82,119,224,201,1,1,1,1,0,1,5578,200,Apache,3.17,0.22,0.67,0.0,0.0,1,2,0,0,False,5,Slovakia,0
lidl.sk,INWX GmbH,4.0,3.0,SwissSign AG,159,104,103,88,216,1,1,1,1,0,1,16625,200,myracloud,2.52,0.14,0.71,0.0,0.0,1,2,0,0,False,1,United States,0
kupele-stos.sk,EXO TECHNOLOGIES spol. s r.o.,4.0,3.0,Let's Encrypt,80,92,240,253,72,1,1,1,1,0,0,29405,200,None,3.18,0.29,0.57,0.0,0.07,1,2,0,1,False,1,Slovakia,0
rysyhotel.sk,EXO TECHNOLOGIES spol. s r.o.,4.0,3.0,Let's Encrypt,32,62,171,135,176,1,1,1,1,0,0,51167,200,nginx/1.18.0 (Ubuntu),3.25,0.33,0.58,0.0,0.0,1,2,0,0,False,1,France,0
centralshopping.sk,Websupport s.r.o.,4.0,3.0,Let's Encrypt,87,37,9,175,188,1,1,1,1,0,0,51013,200,openresty,3.84,0.22,0.72,0.0,0.0,1,3,0,0,False,1,Slovakia,0
zoznam.sk,"Zoznam, s.r.o.",4.0,3.0,Sectigo Limited,369,213,81,185,100,1,1,1,1,0,1,6855,200,cloudflare,2.95,0.22,0.67,0.0,0.0,1,2,0,0,False,1,Slovakia,0
laspalmas.sk,"ACTIVE 24, s.r.o.",4.0,2.0,Let's Encrypt,32,3,125,172,46,2,0,0,1,0,0,16509,200,openresty,2.63,0.25,0.67,0.0,0.0,1,2,0,0,False,6,Germany,0
mikulasskachata.sk,"Webglobe, a.s.",4.0,1.0,Let's Encrypt,55,157,230,78,190,1,1,1,1,1,1,14061,400,nginx,3.2,0.33,0.61,0.0,0.0,1,3,0,0,False,1,Germany,0
autoskolakmk.sk,Websupport s.r.o.,4.0,3.0,Let's Encrypt,43,37,9,175,188,1,1,1,1,0,0,51013,200,openresty,2.97,0.33,0.6,0.0,0.0,2,3,0,0,False,1,Slovakia,0
stuba.sk,"SWAN, a. s.",4.0,3.0,GEANT Vereniging,255,147,175,1,60,1,1,1,1,0,1,2607,200,Apache,2.75,0.25,0.62,0.0,0.0,1,2,0,0,False,1,Slovakia,0
mlyny-nitra.sk,"Webglobe, a.s.",4.0,1.0,Let's Encrypt,69,57,153,167,86,1,1,1,1,0,1,8075,200,nginx,3.52,0.29,0.57,0.0,0.07,1,2,0,1,False,1,Netherlands,0
101drogerie.sk,Websupport s.r.o.,4.0,3.0,Let's Encrypt,27,37,9,175,179,1,1,1,1,0,1,51013,200,openresty,3.38,0.29,0.43,0.21,0.0,2,2,3,0,False,1,Slovakia,0
snowparadise.sk,"CNC, a.s.",4.0,3.0,Let's Encrypt,89,195,201,116,118,1,1,1,1,0,0,24940,200,Apache/2.4.25 (Debian),3.46,0.33,0.6,0.0,0.0,1,2,0,0,False,1,Germany,0
financnasprava.sk,DataCentrum,4.0,2.0,DigiCert Inc,353,194,1,6,50,1,1,1,1,0,1,30898,200,None,3.22,0.29,0.65,0.0,0.0,1,3,0,0,False,10,Slovakia,0
skalica.sk,"Webglobe, a.s.",4.0,3.0,DigiCert Inc,292,88,86,102,9,1,1,1,1,1,1,39392,200,Microsoft-IIS/8.5,2.72,0.3,0.6,0.0,0.0,1,2,0,0,False,5,Czechia,0
hotelyplus.sk,EXO TECHNOLOGIES spol. s r.o.,4.0,3.0,Let's Encrypt,38,92,240,253,18,1,1,1,1,0,0,29405,200,None,3.39,0.31,0.62,0.0,0.0,1,2,0,0,False,1,Slovakia,0
bojnice.sk,"WEBY GROUP, s.r.o.",4.0,3.0,Let's Encrypt,44,82,119,224,201,1,1,1,1,0,1,5578,200,Apache,3.32,0.3,0.6,0.0,0.0,1,2,0,0,False,5,Slovakia,0
mestotlmace.sk,"WEBY GROUP, s.r.o.",4.0,3.0,Let's Encrypt,83,88,86,103,135,1,1,1,1,0,1,39392,200,Microsoft-IIS/8.5,3.24,0.29,0.64,0.0,0.0,1,3,0,0,False,7,Czechia,0
martin.sk,DATACOM.EU s.r.o.,4.0,2.0,Let's Encrypt,89,78,156,158,75,1,1,1,1,0,0,43542,200,Microsoft-IIS/10.0,3.17,0.22,0.67,0.0,0.0,1,2,0,0,False,3,Czechia,0
startitup.sk,"Webglobe, a.s.",4.0,2.0,Google Trust Services,58,104,26,13,117,3,1,1,1,1,1,13335,200,cloudflare,3.02,0.25,0.67,0.0,0.0,1,2,0,0,False,1,Canada,0
uniba.sk,Websupport s.r.o.,4.0,2.0,None,0,158,195,6,138,1,1,1,1,0,1,2607,0,None,3.0,0.38,0.5,0.0,0.0,1,2,0,0,False,1,Slovakia,0
autoskolakozel.sk,"Webglobe, a.s.",4.0,3.0,Let's Encrypt,80,195,181,248,45,1,1,1,1,1,1,48689,200,nginx,3.18,0.41,0.53,0.0,0.0,2,2,0,0,False,1,Slovakia,0
levoca.sk,"WEBY GROUP, s.r.o.",4.0,3.0,Let's Encrypt,82,51,91,81,147,1,1,0,1,0,1,16276,200,None,3.17,0.33,0.56,0.0,0.0,1,2,0,0,False,1,France,0
kaufland.sk,Gransy s.r.o.,4.0,2.0,SwissSign AG,178,34,149,249,52,1,1,1,1,0,1,396982,403,cloudflare,3.1,0.27,0.64,0.0,0.0,2,2,0,0,False,1,United States,0
rohacespalena.sk,Websupport s.r.o.,4.0,2.0,Let's Encrypt,37,37,9,175,155,1,1,1,1,0,1,51013,200,openresty,3.45,0.38,0.56,0.0,0.0,1,2,0,0,False,1,Slovakia,0
hoteldominika.sk,"Webglobe, a.s.",4.0,1.0,Let's Encrypt,85,37,9,175,156,1,1,1,1,0,0,51013,200,openresty,3.62,0.38,0.56,0.0,0.0,1,2,0,0,False,5,Slovakia,0
kupelesliac.sk,"Webglobe, a.s.",4.0,2.0,Let's Encrypt,58,37,9,175,197,1,1,1,1,0,1,51013,200,openresty,3.24,0.36,0.57,0.0,0.0,2,2,0,0,False,1,Slovakia,0
krompachy.sk,VÁDIUM - IT s.r.o.,4.0,3.0,Let's Encrypt,37,212,57,34,210,1,1,1,1,1,1,48689,200,nginx,3.42,0.25,0.67,0.0,0.0,1,2,0,0,False,5,Slovakia,0
staralubovna.sk,"Netix Solutions, s. r. o.",4.0,3.0,Let's Encrypt,33,46,28,105,86,1,1,1,1,0,1,197019,200,Apache,3.46,0.33,0.6,0.0,0.0,1,2,0,0,False,8,Czechia,0
vysneopatske.sk,"WEBY GROUP, s.r.o.",4.0,3.0,Let's Encrypt,45,82,119,224,201,1,1,1,1,0,1,5578,200,Apache,3.32,0.33,0.6,0.0,0.0,2,3,0,0,False,9,Slovakia,0
autotrendy.sk,"Platon Technologies, s.r.o.",4.0,3.0,Let's Encrypt,16,85,248,228,151,1,1,1,1,0,0,5578,200,nginx,3.55,0.38,0.54,0.0,0.0,2,2,0,0,False,1,Slovakia,0
vodeko.sk,"Slovanet, a. s.",4.0,3.0,None,0,46,28,107,241,1,1,1,1,0,0,197019,200,Apache,2.73,0.33,0.56,0.0,0.0,1,2,0,0,False,1,Czechia,0
hotelsquash.sk,EXO TECHNOLOGIES spol. s r.o.,4.0,3.0,Let's Encrypt,53,92,240,253,14,1,1,1,1,0,0,29405,200,None,3.32,0.29,0.64,0.0,0.0,2,3,0,0,False,6,Slovakia,0
pravda.sk,"Webglobe, a.s.",4.0,3.0,DigiCert Inc,67,217,67,31,48,1,1,1,1,1,1,5578,200,nginx/1.10.3 (Ubuntu),2.95,0.22,0.67,0.0,0.0,1,2,0,0,False,1,Slovakia,0
podmaz.sk,"SWAN, a. s.",4.0,3.0,Let's Encrypt,43,172,105,90,44,1,1,1,1,0,0,63949,200,nginx/1.18.0 (Ubuntu),3.17,0.22,0.67,0.0,0.0,1,2,0,0,False,1,Germany,0
hotelcolor.sk,Websupport s.r.o.,4.0,3.0,Let's Encrypt,38,37,9,175,155,1,1,1,1,0,1,51013,200,openresty,3.18,0.31,0.62,0.0,0.0,1,2,0,0,False,4,Slovakia,0
hotelsomka.sk,"Webglobe, a.s.",4.0,3.0,Let's Encrypt,62,83,169,43,108,1,1,1,1,1,1,20773,200,Apache,3.24,0.31,0.62,0.0,0.0,1,2,0,0,False,1,Germany,0
poltar.sk,"INTERNET CZ, a.s.",4.0,3.0,Let's Encrypt,30,88,86,102,9,1,1,1,1,0,1,39392,200,Microsoft-IIS/8.5,3.17,0.22,0.67,0.0,0.0,1,2,0,0,False,3,Czechia,0
gov.sk,Národná agentúra pre sieťové a elektronické služby,4.0,3.0,None,103,195,49,191,194,1,1,1,1,0,1,25373,200,None,2.58,0.17,0.67,0.0,0.0,1,2,0,0,False,1,Slovakia,0
hotelmaraton.sk,"WEBY GROUP, s.r.o.",4.0,2.0,None,0,93,184,65,142,1,1,1,1,0,1,29405,200,nginx,3.51,0.33,0.6,0.0,0.0,1,2,0,0,False,6,Slovakia,0
hotel-lipa.sk,"DUST 4 Business, s.r.o.",4.0,3.0,None,0,78,46,209,196,1,1,1,1,1,0,24940,200,Apache,3.55,0.31,0.54,0.0,0.08,1,2,0,1,False,4,Germany,0
kosicehotel.sk,bart.sk s.r.o.,4.0,3.0,DigiCert Inc,65,81,89,49,143,1,1,1,1,0,0,29405,200,Apache/2.4.62 (AlmaLinux) OpenSSL/3.2.2,3.24,0.36,0.57,0.0,0.0,1,2,0,0,False,6,Slovakia,0
giraltovce.sk,"WEBY GROUP, s.r.o.",4.0,4.0,Let's Encrypt,54,82,119,224,201,1,1,1,1,0,1,5578,200,Apache,3.7,0.31,0.62,0.0,0.0,1,2,0,0,False,7,Slovakia,0
hotelborik.sk,Websupport s.r.o.,4.0,3.0,None,20,37,9,175,133,1,1,1,1,0,0,51013,200,openresty,3.39,0.31,0.62,0.0,0.0,1,2,0,0,False,5,Slovakia,0
hurbanovo.sk,Websupport s.r.o.,4.0,1.0,Let's Encrypt,14,37,9,175,187,1,1,1,1,0,0,51013,200,openresty,3.42,0.33,0.58,0.0,0.0,1,2,0,0,False,6,Slovakia,0
hotel21trnavka.sk,Websupport s.r.o.,4.0,1.0,Let's Encrypt,30,37,9,175,179,1,1,1,1,0,0,51013,200,openresty,3.73,0.24,0.59,0.12,0.0,1,3,2,0,False,6,Slovakia,0
puncovyurad.sk,"C&C Tech, s.r.o.",4.0,2.0,Let's Encrypt,85,109,74,145,54,1,1,1,1,0,0,29405,200,Apache/2.4.62 (Debian),3.66,0.36,0.57,0.0,0.0,2,2,0,0,False,1,Slovakia,0
snina.sk,"INTERNET CZ, a.s.",4.0,3.0,Let's Encrypt,59,88,86,102,6,1,1,1,1,0,0,39392,200,Microsoft-IIS/8.5,2.5,0.25,0.62,0.0,0.0,1,2,0,0,False,3,Czechia,0
snowland.sk,"WebHouse, s.r.o.",4.0,1.0,Let's Encrypt,84,37,9,175,132,1,1,1,1,0,1,51013,200,openresty,3.1,0.18,0.73,0.0,0.0,1,2,0,0,False,1,Slovakia,0
hotelzelenydvor.sk,Websupport s.r.o.,4.0,3.0,None,55,37,9,175,180,1,1,1,1,0,0,51013,200,openresty,3.68,0.33,0.61,0.0,0.0,1,2,0,0,False,8,Slovakia,0
zakonypreludi.sk,"USR Services, s.r.o.",4.0,2.0,Let's Encrypt,55,188,244,63,65,1,1,1,1,0,0,25424,200,Microsoft-IIS/10.0,3.88,0.38,0.56,0.0,0.0,1,2,0,0,False,1,Czechia,0
hotelhydro.sk,Websupport s.r.o.,4.0,2.0,Let's Encrypt,56,37,9,175,132,1,1,1,1,0,0,51013,200,openresty,3.39,0.31,0.62,0.0,0.0,1,2,0,0,False,1,Slovakia,0
sobrance.sk,"WEBY GROUP, s.r.o.",4.0,3.0,Let's Encrypt,45,82,119,224,201,1,0,0,1,0,1,5578,200,Apache,3.28,0.27,0.64,0.0,0.0,1,2,0,0,False,5,Slovakia,0
hotel-eminent.sk,"WebHouse, s.r.o.",4.0,2.0,None,0,52,213,120,66,1,1,1,1,0,1,16509,200,Apache/2.4.62 (Amazon Linux),3.45,0.31,0.56,0.0,0.06,1,2,0,1,False,6,Ireland,0
galileohotel.sk,pressitech s.r.o.,4.0,3.0,None,6,195,80,163,33,1,1,1,1,0,0,8778,200,nginx,3.32,0.4,0.53,0.0,0.0,2,2,0,0,False,1,Slovakia,0
novabana.sk,Websupport s.r.o.,4.0,1.0,Let's Encrypt,62,81,89,56,117,1,1,1,1,0,0,29405,200,nginx,2.85,0.36,0.55,0.0,0.0,1,2,0,0,False,6,Slovakia,0
cassoviaoc.sk,"WebHouse, s.r.o.",4.0,3.0,Let's Encrypt,47,92,240,253,64,1,1,1,1,0,1,29405,200,None,2.87,0.38,0.54,0.0,0.0,3,2,0,0,False,1,Slovakia,0
druzbahotel.sk,Websupport s.r.o.,4.0,2.0,Sectigo Limited,139,37,9,175,131,1,1,1,1,0,0,51013,200,openresty,3.81,0.29,0.64,0.0,0.0,1,2,0,0,False,1,Slovakia,0
hotelkalix.sk,Websupport s.r.o.,4.0,2.0,Let's Encrypt,66,195,181,248,189,1,1,1,1,1,1,48689,200,nginx,3.39,0.31,0.62,0.0,0.0,1,2,0,0,False,4,Slovakia,0
hotelpatria.sk,Varro s.r.o.,4.0,2.0,Let's Encrypt,44,37,9,175,157,1,1,1,1,0,0,51013,200,openresty,3.52,0.36,0.57,0.0,0.0,2,2,0,0,False,1,Slovakia,0
ziardolinky.sk,"ACTIVE 24, s.r.o.",4.0,3.0,Let's Encrypt,46,37,9,175,197,1,1,1,0,0,0,51013,200,openresty,3.52,0.36,0.57,0.0,0.0,2,2,0,0,False,1,Slovakia,0
hotelflora.sk,"WebHouse, s.r.o.",4.0,3.0,Let's Encrypt,32,46,229,230,41,1,1,1,1,0,1,29405,200,Apache,3.39,0.31,0.62,0.0,0.0,1,3,0,0,False,1,Slovakia,0
cityhotelpark.sk,"DSI DATA, a. s.",4.0,3.0,Google Trust Services,36,172,67,153,229,2,1,1,1,0,1,13335,200,cloudflare,3.75,0.31,0.62,0.0,0.0,1,2,0,0,False,8,Canada,0
oddych.sk,Websupport s.r.o.,4.0,2.0,Let's Encrypt,32,37,9,175,187,1,1,1,1,0,0,51013,200,openresty,2.95,0.22,0.67,0.0,0.0,1,2,0,0,False,1,Slovakia,0
kuzelka.sk,"ACTIVE 24, s.r.o.",4.0,3.0,Let's Encrypt,65,37,9,175,196,1,1,1,1,0,0,51013,200,openresty,2.85,0.3,0.6,0.0,0.0,1,2,0,0,False,1,Slovakia,0
autoskolasmart.sk,Websupport s.r.o.,4.0,3.0,Let's Encrypt,34,139,162,156,124,1,1,1,1,0,0,63949,200,nginx/1.22.0 (Ubuntu),3.18,0.35,0.59,0.0,0.0,2,2,0,0,False,1,Germany,0
spisskastaraves.sk,EuroNET Slovakia s.r.o.,4.0,3.0,Let's Encrypt,53,89,221,213,42,1,1,1,1,0,1,197019,200,ATS,2.93,0.28,0.67,0.0,0.0,1,3,0,0,False,10,Czechia,0
dobsina.sk,"WEBY GROUP, s.r.o.",4.0,3.0,Let's Encrypt,44,82,119,224,201,1,1,1,1,0,1,5578,200,Apache,3.12,0.3,0.6,0.0,0.0,1,2,0,0,False,5,Slovakia,0
hotelagro.sk,Websupport s.r.o.,4.0,1.0,Let's Encrypt,15,37,9,175,179,1,1,1,1,0,0,51013,200,openresty,3.42,0.33,0.58,0.0,0.0,1,2,0,0,False,1,Slovakia,0
sebastovce.sk,"INTERNET CZ, a.s.",4.0,3.0,Actalis S.p.A.,177,185,129,138,40,1,0,0,1,0,0,24806,200,Apache,3.18,0.31,0.62,0.0,0.0,1,2,0,0,False,6,Czechia,0
jazerokosice.sk,EXO TECHNOLOGIES spol. s r.o.,4.0,3.0,DigiCert Inc,176,92,240,253,31,1,1,1,1,0,0,29405,200,None,3.37,0.4,0.53,0.0,0.0,1,2,0,0,False,1,Slovakia,0
umb.sk,Univerzita Mateja Bela v Banskej Bystrici,4.0,3.0,GEANT Vereniging,222,104,22,72,179,3,1,1,1,0,1,13335,200,cloudflare,2.58,0.17,0.67,0.0,0.0,1,2,0,0,False,1,Canada,0
mup.sk,"SWAN, a. s.",4.0,1.0,Let's Encrypt,33,86,110,225,104,1,0,0,0,0,0,29405,200,Apache,2.58,0.17,0.67,0.0,0.0,1,2,0,0,False,1,Slovakia,0
stopbyrokracii.sk,Národná agentúra pre sieťové a elektronické služby,4.0,3.0,Sectigo Limited,126,37,9,175,188,1,1,1,1,0,0,51013,200,openresty,3.5,0.35,0.59,0.0,0.0,2,2,0,0,False,1,Slovakia,0
sasanka.sk,"ELBIA, s. r. o.",4.0,3.0,None,0,86,110,233,32,1,1,1,1,0,1,29405,200,RANDOM,2.17,0.3,0.6,0.0,0.0,1,2,0,0,False,1,Slovakia,0
teraz.sk,Websupport s.r.o.,4.0,3.0,Let's Encrypt,45,109,71,71,76,1,1,1,1,0,0,50128,200,nginx,3.0,0.25,0.62,0.0,0.0,1,2,0,0,False,1,Slovakia,0
hotelastra.sk,"WebHouse, s.r.o.",4.0,3.0,Let's Encrypt,73,86,110,243,41,1,1,1,1,0,1,29405,200,Apache,3.24,0.31,0.62,0.0,0.0,1,3,0,0,False,4,Slovakia,0
hotel-yasmin.sk,"SWAN, a. s.",4.0,3.0,Let's Encrypt,53,104,248,87,0,1,1,1,1,0,1,14061,200,Apache,3.77,0.33,0.53,0.0,0.07,2,2,0,1,False,1,The Netherlands,0
povazska-bystrica.sk,"WEBY GROUP, s.r.o.",4.0,3.0,Let's Encrypt,44,82,119,224,201,1,1,1,1,0,1,5578,200,Apache,3.75,0.3,0.6,0.0,0.05,1,3,0,1,False,11,Slovakia,0
dastan.sk,"Computer and Network Systems, spol. s r.o.",4.0,3.0,Let's Encrypt,57,5,75,227,142,1,1,1,1,1,1,24940,200,nginx,2.73,0.22,0.67,0.0,0.0,1,2,0,0,False,4,Germany,0
hotelbowgarden.sk,"Webglobe, a.s.",4.0,3.0,None,41,217,67,31,5,1,1,1,1,1,1,5578,200,nginx,3.85,0.29,0.65,0.0,0.0,1,2,0,0,False,6,Slovakia,0
hotelstardust.sk,EXO TECHNOLOGIES spol. s r.o.,4.0,3.0,Let's Encrypt,18,92,240,253,14,1,1,1,1,0,0,29405,200,None,3.41,0.25,0.69,0.0,0.0,1,3,0,0,False,7,Slovakia,0
partizanske.sk,"Slovanet, a. s.",4.0,3.0,Let's Encrypt,44,82,119,224,201,1,1,1,1,0,0,5578,200,Apache,3.38,0.29,0.64,0.0,0.0,1,3,0,0,False,7,Slovakia,0
eperia.sk,"+421 Web Services, s.r.o.",4.0,2.0,Let's Encrypt,47,37,9,175,157,1,1,1,1,0,1,51013,200,openresty,2.95,0.44,0.44,0.0,0.0,2,2,0,0,False,1,Slovakia,0
hotellomy.sk,Websupport s.r.o.,4.0,3.0,Let's Encrypt,20,37,9,175,181,1,1,1,1,0,1,51013,200,openresty,3.25,0.33,0.58,0.0,0.0,1,2,0,0,False,1,Slovakia,0
ruzinov.sk,"crooce.com - the internet company, s.r.o.",4.0,4.0,Let's Encrypt,46,86,110,226,183,1,1,1,1,0,0,29405,403,Apache,3.32,0.3,0.6,0.0,0.0,1,2,0,0,False,5,Slovakia,0
pezinok.sk,Websupport s.r.o.,4.0,4.0,Sectigo Limited,287,37,9,170,11,1,1,1,1,0,0,51013,200,None,3.12,0.3,0.6,0.0,0.0,1,2,0,0,False,6,Slovakia,0
dudince-mesto.sk,Websupport s.r.o.,4.0,2.0,Let's Encrypt,38,62,171,144,79,1,1,1,1,0,0,51167,200,nginx,3.62,0.31,0.56,0.0,0.06,1,2,0,1,False,9,France,0
vkapusany.sk,"WEBY GROUP, s.r.o.",4.0,2.0,Let's Encrypt,45,82,119,224,201,1,1,1,1,0,0,5578,200,Apache,3.08,0.33,0.58,0.0,0.0,1,2,0,0,False,6,Slovakia,0
epi.sk,"USR Services, s.r.o.",4.0,1.0,Let's Encrypt,54,188,244,63,64,1,1,1,1,0,0,25424,200,Microsoft-IIS/10.0,2.58,0.33,0.5,0.0,0.0,1,2,0,0,False,1,Czechia,0
vsonline.sk,"SWAN, a. s.",4.0,3.0,Let's Encrypt,33,86,110,225,104,1,0,0,0,0,0,29405,200,Apache,3.1,0.27,0.64,0.0,0.0,1,2,0,0,False,1,Slovakia,0
skitelgart.sk,Websupport s.r.o.,4.0,2.0,Let's Encrypt,52,37,9,175,187,1,1,1,1,0,0,51013,200,openresty,3.24,0.23,0.69,0.0,0.0,1,2,0,0,False,1,Slovakia,0
hotelgrand.sk,"Webglobe, a.s.",4.0,3.0,DigiCert Inc,301,217,67,30,65,1,1,1,1,1,1,5578,200,nginx,3.7,0.23,0.69,0.0,0.0,1,3,0,0,False,5,Slovakia,0
goldenroyal.sk,"Webglobe, a.s.",4.0,3.0,Let's Encrypt,73,195,181,250,140,1,1,1,1,0,1,48689,200,nginx,3.52,0.36,0.57,0.0,0.0,3,2,0,0,False,8,Slovakia,0
levi.sk,MarkMonitor International Limited,4.0,4.0,Let's Encrypt,79,157,230,111,194,1,1,1,1,0,1,14061,200,xxxxxx,2.81,0.29,0.57,0.0,0.0,1,2,0,0,False,1,Germany,0
zeliezovce.sk,"INTERNET CZ, a.s.",4.0,3.0,Let's Encrypt,86,88,86,102,4,1,1,1,1,0,0,39392,200,Microsoft-IIS/8.5,3.18,0.38,0.54,0.0,0.0,2,2,0,0,False,7,Czechia,0
hotelsvataludmila.sk,"INTERNET CZ, a.s.",4.0,1.0,Actalis S.p.A.,220,81,2,194,244,1,0,0,1,0,0,24806,200,Apache,3.65,0.35,0.6,0.0,0.0,1,3,0,0,False,9,Czechia,0
lyziarskaskola.sk,"Webglobe, a.s.",4.0,3.0,Let's Encrypt,49,37,9,175,156,1,1,1,1,0,0,51013,200,openresty,3.13,0.35,0.59,0.0,0.0,2,3,0,0,False,1,Slovakia,0
portalvs.sk,"Webglobe, a.s.",4.0,3.0,Sectigo Limited,134,194,160,4,101,1,1,1,1,0,0,2607,200,nginx,3.28,0.18,0.73,0.0,0.0,1,3,0,0,False,1,Slovakia,0
autoskolaportal.sk,Websupport s.r.o.,4.0,2.0,Let's Encrypt,69,37,9,175,156,1,1,1,1,0,0,51013,200,openresty,3.2,0.39,0.56,0.0,0.0,2,2,0,0,False,1,Slovakia,0
hotelspark.sk,Websupport s.r.o.,4.0,2.0,Let's Encrypt,55,37,9,175,131,1,1,1,1,0,0,51013,0,openresty,3.39,0.23,0.69,0.0,0.0,1,3,0,0,False,5,Slovakia,0
brezno.sk,Arrabella s.r.o.,4.0,3.0,Let's Encrypt,64,3,123,67,122,1,1,1,1,1,1,16509,200,nginx,3.17,0.22,0.67,0.0,0.0,1,2,0,0,False,4,Germany,0
medzilaborce-urad.sk,"WEBY GROUP, s.r.o.",4.0,1.0,Let's Encrypt,44,82,119,224,201,1,1,1,1,0,1,5578,200,Apache,3.92,0.35,0.55,0.0,0.05,1,2,0,1,False,12,Slovakia,0
barca.sk,Slavomír Kundrát - Faeton,4.0,4.0,Let's Encrypt,44,82,119,224,201,1,1,1,1,1,0,5578,200,Apache,2.75,0.25,0.62,0.0,0.0,1,2,0,0,False,4,Slovakia,0
kolarovo.sk,Websupport s.r.o.,4.0,3.0,Let's Encrypt,41,95,168,218,50,1,1,1,1,0,0,39392,200,Microsoft-IIS/8.5,2.85,0.36,0.55,0.0,0.0,1,2,0,0,False,5,Czechia,0
hoteldetva.sk,Websupport s.r.o.,4.0,3.0,Let's Encrypt,75,77,37,83,70,1,1,1,1,0,1,47583,200,hcdn,3.39,0.31,0.62,0.0,0.0,1,2,0,0,False,5,Lithuania,0
hotel-morava.sk,Websupport s.r.o.,4.0,3.0,Let's Encrypt,55,37,9,175,155,1,1,1,1,0,0,51013,200,openresty,3.64,0.33,0.53,0.0,0.07,1,2,0,1,False,1,Slovakia,0
unipo.sk,"WebHouse, s.r.o.",4.0,3.0,GEANT Vereniging,258,194,160,192,15,1,1,1,1,0,0,2607,200,Apache,3.0,0.38,0.5,0.0,0.0,1,2,0,0,False,1,Slovakia,0
sered.sk,"Webglobe, a.s.",4.0,3.0,Let's Encrypt,43,46,234,109,102,1,1,1,1,1,1,39392,200,Microsoft-IIS/8.5,2.5,0.25,0.62,0.0,0.0,1,2,0,0,False,3,Czechia,0
galeriamartin.sk,THR Systems a.s.,4.0,4.0,Let's Encrypt,44,46,28,106,222,1,1,1,1,0,1,197019,200,Apache,3.45,0.38,0.56,0.0,0.0,2,2,0,0,False,1,Czechia,0
tetadrogerie.sk,"SWAN, a. s.",4.0,2.0,Let's Encrypt,47,213,81,218,66,1,1,1,1,0,1,6855,200,Microsoft-IIS/10.0,3.32,0.4,0.53,0.0,0.0,2,2,0,0,False,1,Slovakia,0
kosik.sk,Websupport s.r.o.,4.0,3.0,DigiCert Inc,237,151,101,1,55,4,1,1,1,0,1,54113,200,None,2.16,0.25,0.62,0.0,0.0,1,2,0,0,False,1,United States,0
hoteldevin.sk,"WebCreators, s. r. o.",4.0,3.0,Let's Encrypt,57,193,163,77,5,1,1,1,1,0,1,29405,200,nginx,3.55,0.31,0.62,0.0,0.0,1,2,0,0,False,3,Slovakia,0
mizunostore.sk,ZONER s.r.o.,4.0,3.0,Let's Encrypt,30,194,145,180,164,1,0,0,0,0,0,24971,200,openresty,3.52,0.36,0.57,0.0,0.0,1,2,0,0,False,1,Czechia,0
slov-lex.sk,Ministerstvo spravodlivosti Slovenskej republiky,4.0,3.0,Let's Encrypt,87,138,2,178,112,1,1,1,1,0,0,31898,403,None,3.1,0.18,0.64,0.0,0.09,1,2,0,1,False,1,Germany,0
hotelosobita.sk,EuroNET Slovakia s.r.o.,4.0,3.0,Let's Encrypt,73,213,215,124,73,1,1,1,1,0,1,5578,200,Apache/2.4.63 (FreeBSD) OpenSSL/1.1.1w-freebsd mpm-itk/2.4.7-04 PHP/8.2.24,3.32,0.4,0.53,0.0,0.0,1,2,0,0,False,1,Slovakia,0
newbalance.sk,Corporation Service Company (DBS) GmbH,4.0,4.0,Let's Encrypt,84,185,157,236,117,1,1,1,1,0,1,31242,200,envoy,3.24,0.31,0.62,0.0,0.0,1,2,0,0,False,1,Poland,0
kvhk.sk,Websupport s.r.o.,4.0,3.0,Let's Encrypt,25,37,9,175,188,1,1,1,1,0,0,51013,200,openresty,2.13,0.0,0.86,0.0,0.0,0,4,0,0,False,1,Slovakia,0
hotelsaffron.sk,Websupport s.r.o.,4.0,3.0,Let's Encrypt,70,185,59,211,127,1,1,1,1,0,0,43541,200,nginx,3.51,0.27,0.67,0.0,0.0,1,3,0,0,False,5,Czechia,0
selce-cachovo.sk,"WebHouse, s.r.o.",4.0,2.0,None,99,46,229,230,45,1,1,1,1,0,1,29405,0,None,3.33,0.31,0.56,0.0,0.06,1,2,0,1,False,1,Slovakia,0
