Domain,Registrar,Creation_Date,Update_Date,SSL_Issuer,SSL_TTL,IPv4_Num,NumOfIPs,SPF,MX,DKIM,DMARC,AS,HTTP_Status,Server,Entropy,Vowel_Ratio,Consonant_Ratio,Numerical_Ratio,Special_Char_Ratio,Vowel_Sequence,Consonant_Sequence,Numerical_Sequence,Special_Char_Sequence,Is_Unicode,Levenshtein_Distance,Contains_Blacklisted,Last_is_sk,Location,Class
bojnice.sk,"WEBY GROUP, s.r.o.",4.0,3.0,Let's Encrypt,85,1383588041,1,1,1,0,1,5578,200,Apache,3.32,0.3,0.6,0.0,0.0,1,2,0,0,False,9,False,False,Slovakia,0
drziaky.sk,"INTERNET CZ, a.s.",4.0,4.0,Let's Encrypt,32,1360995606,1,1,1,0,1,24971,200,openresty,3.12,0.3,0.6,0.0,0.0,2,3,0,0,False,9,False,False,Czechia,0
balmatbb.sk,"WebHouse, s.r.o.",4.0,3.0,None,82,1541113352,1,1,1,0,0,49798,200,Apache/2.4.59 (Debian),2.85,0.18,0.73,0.0,0.0,1,3,0,0,False,10,False,False,Slovakia,0
dedietrichsk.sk,Gransy s.r.o.,4.0,3.0,None,72,1572431137,1,1,0,0,1,43541,200,Apache/2.4,3.24,0.27,0.67,0.0,0.0,2,4,0,0,False,14,False,True,Czechia,1
appetit.sk,"INTERNET CZ, a.s.",4.0,2.0,Let's Encrypt,87,1359007336,1,1,1,0,0,15685,200,nginx,2.92,0.3,0.6,0.0,0.0,1,2,0,0,False,9,False,False,Czechia,0
bbpanskamoda.cz,REG-INTERNET-CZ,4.0,4.0,Let's Encrypt,38,3641434956,1,1,1,0,0,15685,200,Apache,3.46,0.27,0.67,0.0,0.0,1,3,0,0,False,14,False,False,Czechia,0
belsoft.sk,EuroServer.sk s. r. o.,4.0,3.0,Let's Encrypt,53,1541358854,1,1,1,0,1,41591,200,Apache,3.12,0.2,0.7,0.0,0.0,1,2,0,0,False,9,False,False,Slovakia,0
babincak.sk,"WebHouse, s.r.o.",4.0,2.0,None,385,1450111783,1,1,1,0,1,29405,200,Apache,2.91,0.27,0.64,0.0,0.0,1,2,0,0,False,10,False,False,Slovakia,0
lokomotiva.sk,"Slovak Telekom, a.s.",4.0,3.0,Let's Encrypt,61,1450111952,1,1,1,0,1,29405,200,Apache,3.18,0.38,0.54,0.0,0.0,1,2,0,0,False,12,False,False,Slovakia,0
bemicomp.sk,Websupport s.r.o.,4.0,3.0,Let's Encrypt,43,55122796,2,1,1,0,0,16509,200,openresty,3.28,0.27,0.64,0.0,0.0,1,2,0,0,False,10,False,False,Germany,0
