Domain,Registrar,Creation_Date,Update_Date,SSL_Issuer,SSL_TTL,IPv4_Num,NumOfIPs,SPF,MX,DKIM,DMARC,AS,HTTP_Status,Server,Entropy,Vowel_Ratio,Consonant_Ratio,Numerical_Ratio,Special_Char_Ratio,Vowel_Sequence,Consonant_Sequence,Numerical_Sequence,Special_Char_Sequence,Is_Unicode,Levenshtein_Distance,Contains_Blacklisted,Last_is_sk,Location,Class
hotelharmonia.sk,"Webglobe, a.s.",4.0,3.0,None,21,3283482645,1,1,1,1,1,48689,200,nginx,3.62,0.38,0.56,0.0,0.0,2,2,0,0,False,15,False,False,Slovakia,0
dbreality.sk,Websupport s.r.o.,4.0,3.0,Let's Encrypt,37,621391797,1,1,1,0,0,51013,200,openresty,3.58,0.33,0.58,0.0,0.0,2,3,0,0,False,11,False,False,Slovakia,0
baarcotish.sk,Websupport s.r.o.,4.0,3.0,Let's Encrypt,88,621391795,1,1,1,0,0,51013,200,openresty,3.39,0.31,0.62,0.0,0.0,2,2,0,0,False,12,False,False,Slovakia,0
becode.sk,Websupport s.r.o.,4.0,3.0,Let's Encrypt,68,1280054549,1,1,1,0,1,16509,200,Vercel,2.95,0.33,0.56,0.0,0.0,1,2,0,0,False,8,False,False,United States,0
bkf.sk,Websupport s.r.o.,4.0,1.0,Let's Encrypt,26,621391803,1,1,1,0,0,51013,200,openresty,2.25,0.0,0.83,0.0,0.0,0,3,0,0,False,5,False,False,Slovakia,0
bkspdroznava.sk,"INTERNET CZ, a.s.",4.0,2.0,Let's Encrypt,43,3118874554,3,0,0,0,0,58182,404,Pepyaka,3.51,0.2,0.73,0.0,0.0,1,6,0,0,False,14,False,False,United States,0
skisachticky.sk,"Webglobe, a.s.",4.0,3.0,Let's Encrypt,48,3283482644,1,1,1,1,1,48689,200,nginx,3.01,0.27,0.67,0.0,0.0,1,3,0,0,False,14,False,False,Slovakia,0
bapesk.sk,Gransy s.r.o.,3.0,3.0,Google Trust Services,37,2890107992,2,0,0,0,0,13335,200,cloudflare,2.73,0.22,0.67,0.0,0.0,1,2,0,0,False,8,False,True,Canada,1
abchotel.sk,"WEDOS Internet, a.s.",4.0,2.0,None,0,1507710285,1,0,1,0,0,197019,200,ATS,3.46,0.27,0.64,0.0,0.0,1,3,0,0,False,10,False,False,Czechia,0
bauker.sk,"Slovak Telekom, a.s.",4.0,3.0,Let's Encrypt,86,1559297387,1,1,1,0,0,29405,200,None,2.95,0.33,0.56,0.0,0.0,2,2,0,0,False,8,False,False,Slovakia,0
huglo.sk,"Hilberman Capital, s.r.o.",4.0,4.0,Google Trust Services,58,1746218765,2,1,1,0,0,13335,200,cloudflare,3.0,0.25,0.62,0.0,0.0,1,2,0,0,False,7,False,False,Canada,1
lyziarskaskola.sk,"Webglobe, a.s.",4.0,3.0,Let's Encrypt,29,621391772,1,1,1,0,0,51013,200,openresty,3.13,0.35,0.59,0.0,0.0,2,3,0,0,False,16,False,False,Slovakia,0
soslovenskekasino.sk,Key-Systems GmbH,4.0,2.0,Google Trust Services,41,2890118429,2,1,1,0,1,13335,200,cloudflare,3.07,0.35,0.6,0.0,0.0,1,3,0,0,False,19,True,False,Canada,1
vencovky.sk,SOLTEC s.r.o.,4.0,3.0,None,0,1364799788,1,1,1,0,0,29405,200,Apache/2.4.37 (centos) OpenSSL/1.1.1k mod_fcgid/2.3.9 PHP/7.3.33,3.1,0.27,0.64,0.0,0.0,1,2,0,0,False,10,False,False,Slovakia,0
bastapajstun.sk,"Mediate, s.r.o.",4.0,3.0,DigiCert Inc,337,621390063,1,1,1,0,0,51013,200,None,3.14,0.27,0.67,0.0,0.0,1,3,0,0,False,14,False,False,Slovakia,0
balazova-preklady.sk,Websupport s.r.o.,4.0,2.0,Let's Encrypt,19,621391772,1,1,1,0,0,51013,200,openresty,3.72,0.35,0.55,0.0,0.05,1,2,0,1,False,19,False,False,Slovakia,0
uniza.sk,Websupport s.r.o.,4.0,3.0,GEANT Vereniging,70,2663461076,1,1,1,1,1,2607,200,WebServer,3.0,0.38,0.5,0.0,0.0,1,2,0,0,False,7,False,False,Slovakia,0
victoriasecretsk.sk,Gransy s.r.o.,4.0,3.0,Let's Encrypt,71,3301189207,1,0,0,0,0,58065,200,Apache,3.37,0.32,0.63,0.0,0.0,2,3,0,0,False,18,False,True,France,1
barte.sk,"WebHouse, s.r.o.",4.0,2.0,None,385,1450111981,1,1,1,0,1,29405,200,Apache,3.0,0.25,0.62,0.0,0.0,1,2,0,0,False,7,False,False,Slovakia,0
bbraun-avitum.sk,"Webglobe, s.r.o.",4.0,3.0,None,0,1047369552,1,0,1,0,0,29134,200,None,3.62,0.31,0.56,0.0,0.06,2,3,0,1,False,15,False,False,Czechia,0
barservis.sk,"FreeTech.digital, s. r. o.",4.0,3.0,Let's Encrypt,36,3237668115,1,1,1,1,0,209341,200,LiteSpeed,3.02,0.25,0.67,0.0,0.0,1,2,0,0,False,11,False,False,Germany,0
bemistav.sk,"WebHouse, s.r.o.",4.0,2.0,None,385,1450111969,1,1,1,0,1,29405,200,Apache,3.28,0.27,0.64,0.0,0.0,1,2,0,0,False,10,False,False,Slovakia,0
kasinozive.sk,Gransy s.r.o.,4.0,1.0,Let's Encrypt,83,1296984067,1,1,1,0,1,15685,200,Apache/2.4.25 (Debian),3.24,0.38,0.54,0.0,0.0,1,2,0,0,False,12,True,False,Czechia,1
hotelmaraton.sk,"WEBY GROUP, s.r.o.",4.0,2.0,None,0,1572356494,1,1,1,0,1,29405,200,nginx,3.51,0.33,0.6,0.0,0.0,1,2,0,0,False,14,False,False,Slovakia,0
central.sk,"Platon Technologies, s.r.o.",4.0,2.0,Let's Encrypt,21,1442375080,1,1,1,0,1,5578,200,nginx,3.32,0.2,0.7,0.0,0.0,1,3,0,0,False,9,False,False,Slovakia,0
svadobnezakusky.sk,Websupport s.r.o.,4.0,3.0,Let's Encrypt,37,621391804,1,1,1,0,0,51013,200,openresty,3.53,0.33,0.61,0.0,0.0,1,2,0,0,False,17,False,False,Slovakia,0
vlonebratislava.sk,NETIM,4.0,3.0,ZeroSSL,73,3301228793,1,0,0,0,0,41564,403,Apache/2,3.57,0.33,0.61,0.0,0.0,1,2,0,0,False,17,True,False,Ireland,1
benaf.sk,"INTERNET CZ, a.s.",4.0,1.0,None,0,1359135398,1,0,0,0,0,24806,200,Microsoft-IIS/10.0,3.0,0.25,0.62,0.0,0.0,1,2,0,0,False,7,False,False,Czechia,0
babykiss.sk,Websupport s.r.o.,4.0,3.0,Let's Encrypt,16,621391796,1,1,1,0,0,51013,200,openresty,2.66,0.27,0.64,0.0,0.0,1,2,0,0,False,10,False,False,Slovakia,0
kosice.sk,Websupport s.r.o.,4.0,3.0,DigiCert Inc,60,1490292245,1,1,1,0,1,42841,200,Apache,2.73,0.33,0.56,0.0,0.0,1,2,0,0,False,8,False,False,Slovakia,0
dvsshoes.sk,Gransy s.r.o.,4.0,3.0,Let's Encrypt,41,2783428175,1,0,0,0,0,58065,200,Apache,2.73,0.18,0.73,0.0,0.0,2,5,0,0,False,10,True,False,Estonia,1
zvolen.sk,"WEBY GROUP, s.r.o.",4.0,3.0,Let's Encrypt,55,1383588041,1,1,1,0,1,5578,200,Apache,3.17,0.22,0.67,0.0,0.0,1,2,0,0,False,8,False,False,Slovakia,0
hoodrich-sk.sk,Gransy s.r.o.,3.0,3.0,Google Trust Services,44,1746214646,2,0,0,0,0,13335,200,cloudflare,3.24,0.21,0.64,0.0,0.07,2,2,0,1,False,13,False,True,Canada,1
bepon.sk,BEPON Retail SK s. r. o.,4.0,3.0,Let's Encrypt,51,3111031650,1,1,1,0,1,56800,200,nginx,3.0,0.25,0.62,0.0,0.0,1,2,0,0,False,7,False,False,Slovakia,0
znalectrencin.sk,"ACTIVE 24, s.r.o.",4.0,3.0,Let's Encrypt,64,521079357,1,0,1,0,0,25234,200,nginx,3.45,0.25,0.69,0.0,0.0,1,3,0,0,False,15,False,False,Czechia,1
kubasok.sk,Websupport s.r.o.,4.0,3.0,Let's Encrypt,35,621391747,1,1,1,0,0,51013,200,openresty,2.65,0.3,0.6,0.0,0.0,1,2,0,0,False,9,False,False,Slovakia,0
levoca.sk,"WEBY GROUP, s.r.o.",4.0,3.0,Let's Encrypt,62,861622675,1,0,1,0,1,16276,200,None,3.17,0.33,0.56,0.0,0.0,1,2,0,0,False,8,False,False,France,0
oczemplin.sk,Websupport s.r.o.,4.0,1.0,Let's Encrypt,85,773614574,1,1,1,0,1,197019,200,Apache,3.58,0.25,0.67,0.0,0.0,1,3,0,0,False,11,False,False,Czechia,0
prirodauzdravuje.sk,"ACTIVE 24, s.r.o.",4.0,3.0,Let's Encrypt,85,1359007336,1,1,1,0,1,15685,200,nginx,3.68,0.37,0.58,0.0,0.0,2,3,0,0,False,18,False,False,Czechia,0
b50.sk,Websupport s.r.o.,4.0,3.0,Let's Encrypt,18,621391771,1,1,1,0,0,51013,200,openresty,2.58,0.0,0.5,0.33,0.0,0,2,2,0,False,5,False,False,Slovakia,0
bajan.sk,Websupport s.r.o.,4.0,2.0,Let's Encrypt,15,621391803,1,1,1,0,0,51013,200,openresty,2.75,0.25,0.62,0.0,0.0,1,2,0,0,False,7,False,False,Slovakia,0
municiepreukrajinu.sk,"ACTIVE 24, s.r.o.",3.0,3.0,None,0,55122796,2,1,1,0,1,16509,404,openresty,3.56,0.43,0.52,0.0,0.0,2,2,0,0,False,20,False,False,Germany,1
bwsoft.sk,"Webglobe, a.s.",4.0,3.0,DigiCert Inc,138,3560513543,1,1,1,1,1,48689,200,nginx,2.95,0.11,0.78,0.0,0.0,1,3,0,0,False,8,False,False,Slovakia,0
batasport.sk,Gransy s.r.o.,4.0,4.0,Let's Encrypt,34,1845033769,1,1,1,1,1,57707,200,Apache,3.08,0.25,0.67,0.0,0.0,1,2,0,0,False,11,False,False,Czechia,0
lunchboxsk.sk,Gransy s.r.o.,4.0,4.0,Let's Encrypt,77,1296984067,1,1,1,0,1,15685,200,Apache/2.4.25 (Debian),3.39,0.15,0.77,0.0,0.0,1,4,0,0,False,12,False,True,Czechia,1
lecoqsportifbratislava.sk,NETIM,4.0,3.0,Let's Encrypt,35,2783430165,1,0,0,0,0,58065,403,nginx,3.86,0.32,0.64,0.0,0.0,1,3,0,0,False,24,True,False,Estonia,1
sasanka.sk,"ELBIA, s. r. o.",4.0,3.0,None,0,1450109216,1,1,1,0,1,29405,200,RANDOM,2.17,0.3,0.6,0.0,0.0,1,2,0,0,False,9,False,False,Slovakia,0
detva.sk,"WEBY GROUP, s.r.o.",4.0,3.0,Let's Encrypt,85,1383588041,1,1,1,0,1,5578,200,Apache,3.0,0.25,0.62,0.0,0.0,1,2,0,0,False,7,False,False,Slovakia,0
balsyn.sk,EuroNET Slovakia s.r.o.,4.0,2.0,ZeroSSL,80,3108035365,1,1,1,0,1,43541,200,nginx,2.95,0.22,0.67,0.0,0.0,1,2,0,0,False,8,False,False,Czechia,0
hotelzelenydvor.sk,Websupport s.r.o.,4.0,3.0,None,36,621391796,1,1,1,0,0,51013,200,openresty,3.68,0.33,0.61,0.0,0.0,1,2,0,0,False,17,False,False,Slovakia,0
trapstar-sk.sk,Gransy s.r.o.,3.0,3.0,Google Trust Services,38,1746215353,2,0,0,0,0,13335,200,cloudflare,2.9,0.14,0.71,0.0,0.07,1,3,0,1,False,13,False,True,Canada,1
brezno.sk,Arrabella s.r.o.,4.0,3.0,Let's Encrypt,44,58409850,1,1,1,1,1,16509,200,nginx,3.17,0.22,0.67,0.0,0.0,1,2,0,0,False,8,False,False,Germany,0
bski.sk,"X - Tech, s. r. o.",4.0,4.0,Let's Encrypt,35,621391772,1,0,1,0,0,51013,200,openresty,2.24,0.14,0.71,0.0,0.0,1,3,0,0,False,6,False,False,Slovakia,0
kupele-bojnice.sk,Websupport s.r.o.,4.0,3.0,Let's Encrypt,36,773614574,1,1,1,0,0,197019,200,Apache,3.69,0.35,0.53,0.0,0.06,1,2,0,1,False,16,True,False,Czechia,0
stavebniny-pezinok.sk,"Webglobe, a.s.",4.0,2.0,Let's Encrypt,38,3645054555,1,1,1,0,1,5578,200,nginx,3.78,0.33,0.57,0.0,0.05,1,2,0,1,False,20,False,False,Slovakia,0
trnava.sk,Václav Paul - JEREMY,4.0,3.0,"DigiCert, Inc.",279,1051214956,1,1,1,1,1,5578,200,Apache,2.95,0.22,0.67,0.0,0.0,1,3,0,0,False,8,False,False,Slovakia,0
peknetopanky.sk,"WebHouse, s.r.o.",2.0,1.0,Google Trust Services,53,1746219009,7,0,0,0,0,13335,403,cloudflare,3.19,0.33,0.6,0.0,0.0,1,2,0,0,False,14,True,False,Canada,1
polovnikovsvet.sk,Websupport s.r.o.,4.0,3.0,Let's Encrypt,87,621391772,1,1,1,0,0,51013,200,openresty,3.29,0.29,0.65,0.0,0.0,1,3,0,0,False,16,False,False,Slovakia,0
ruzinov.sk,"crooce.com - the internet company, s.r.o.",4.0,4.0,Let's Encrypt,26,1450107575,1,1,1,0,0,29405,403,Apache,3.32,0.3,0.6,0.0,0.0,1,2,0,0,False,9,False,False,Slovakia,0
eleganceshop.sk,"WebCreators, s. r. o.",4.0,3.0,Let's Encrypt,62,3248704796,1,1,1,1,1,29405,200,nginx,3.46,0.33,0.6,0.0,0.0,1,2,0,0,False,14,True,False,Slovakia,1
oncloud.sk,Gransy s.r.o.,4.0,3.0,Let's Encrypt,72,3304449540,1,0,0,0,0,58065,200,Apache,3.12,0.3,0.6,0.0,0.0,2,3,0,0,False,9,False,False,Germany,1
balmainshop.sk,"WebHouse, s.r.o.",3.0,3.0,Google Trust Services,76,1746210478,2,0,0,0,0,13335,403,cloudflare,3.52,0.29,0.64,0.0,0.0,2,3,0,0,False,13,True,False,Canada,1
slovensko.sk,Národná agentúra pre sieťové a elektronické služby,4.0,3.0,DigiCert Inc,83,3274817474,1,1,1,0,1,25373,200,None,2.86,0.25,0.67,0.0,0.0,1,3,0,0,False,11,True,False,Slovakia,0
kupeledudince.sk,"Webglobe, a.s.",4.0,2.0,DigiCert Inc,189,3560513664,1,1,1,1,1,48689,200,nginx,3.33,0.38,0.56,0.0,0.0,1,2,0,0,False,15,True,False,Slovakia,0
pumalacno.sk,Gransy s.r.o.,4.0,3.0,Let's Encrypt,41,2665349660,1,0,0,0,0,63119,200,Apache,3.42,0.33,0.58,0.0,0.0,1,2,0,0,False,11,True,False,United States,1
legeroslovensko.sk,"WebHouse, s.r.o.",3.0,3.0,Google Trust Services,31,2890128076,2,0,0,0,0,13335,403,cloudflare,3.16,0.33,0.61,0.0,0.0,1,3,0,0,False,17,True,False,Canada,1
veganstore.sk,"INTERNET CZ, a.s.",4.0,2.0,Let's Encrypt,83,2342687753,1,1,1,0,1,63949,200,Apache,3.39,0.31,0.62,0.0,0.0,1,3,0,0,False,12,True,False,Germany,0
luciagrullova.com,None,None,None,ZeroSSL,59,3115908618,2,1,1,0,0,198627,200,nginx,3.34,0.41,0.53,0.0,0.0,2,2,0,0,False,16,False,False,Czechia,0
zilina.sk,"MaM multimedia, s.r.o.",4.0,1.0,Let's Encrypt,35,1507711696,1,1,1,0,0,197019,200,Apache,2.95,0.33,0.56,0.0,0.0,1,2,0,0,False,8,False,False,Czechia,0
northfaceslovakia.sk,Gransy s.r.o.,4.0,3.0,Let's Encrypt,42,2783418527,1,0,0,0,0,58065,200,Apache,3.78,0.35,0.6,0.0,0.0,2,4,0,0,False,19,True,False,United States,1
hoteldominika.sk,"Webglobe, a.s.",4.0,2.0,Let's Encrypt,65,621391772,1,1,1,0,0,51013,200,openresty,3.62,0.38,0.56,0.0,0.0,1,2,0,0,False,15,False,False,Slovakia,0
stupava.sk,Positive s.r.o.,4.0,3.0,Let's Encrypt,58,1482057227,1,1,1,1,1,39392,200,Microsoft-IIS/8.5,2.92,0.3,0.6,0.0,0.0,1,2,0,0,False,9,False,False,Czechia,0
zahradnictvokruh.sk,"INTERNET CZ, a.s.",4.0,2.0,Let's Encrypt,20,1296987963,1,0,0,0,0,15685,200,None,3.83,0.26,0.68,0.0,0.0,1,3,0,0,False,18,False,False,Czechia,0
bratislava.sk,Hlavné mesto Slovenskej republiky Bratislava,4.0,2.0,Let's Encrypt,52,2890090705,3,1,1,0,1,13335,200,cloudflare,3.18,0.31,0.62,0.0,0.0,1,2,0,0,False,12,True,False,Canada,0
drmartensslovensko-sk.sk,Gransy s.r.o.,3.0,3.0,Let's Encrypt,88,3304430066,1,0,0,0,0,41564,200,Apache,3.57,0.21,0.71,0.0,0.04,1,4,0,1,False,23,True,True,Slovakia,1
hoodrichbunda.sk,Key-Systems GmbH,4.0,2.0,ZeroSSL,86,2783444266,1,1,1,0,0,41564,403,Apache/2,3.62,0.31,0.62,0.0,0.0,2,3,0,0,False,15,True,False,India,1
btservis.sk,Websupport s.r.o.,4.0,3.0,Let's Encrypt,36,621391771,1,1,1,0,0,51013,200,openresty,3.03,0.18,0.73,0.0,0.0,1,3,0,0,False,10,False,False,Slovakia,0
kupele-stos.sk,EXO TECHNOLOGIES spol. s r.o.,4.0,3.0,Let's Encrypt,60,1559297352,1,1,1,0,0,29405,200,None,3.18,0.29,0.57,0.0,0.07,1,2,0,1,False,13,True,False,Slovakia,0
babyclinic.sk,"GLOBAL IT, spol. s r.o.",4.0,3.0,Let's Encrypt,31,1450107286,1,1,1,1,0,29405,200,Apache,3.24,0.31,0.62,0.0,0.0,1,2,0,0,False,12,False,False,Slovakia,0
casis.sk,Smartweb s.r.o.,4.0,3.0,None,93,1833606453,1,1,1,1,1,29405,200,nginx,2.41,0.25,0.62,0.0,0.0,1,2,0,0,False,7,False,False,Slovakia,0
hoteltatra.sk,Websupport s.r.o.,4.0,2.0,Sectigo Limited,205,621391795,1,1,1,0,1,51013,200,openresty,3.18,0.31,0.62,0.0,0.0,1,2,0,0,False,12,False,False,Slovakia,0
samsonitekufor.sk,Gransy s.r.o.,3.0,3.0,Let's Encrypt,37,2783401824,1,0,0,0,0,58065,200,Apache,3.57,0.35,0.59,0.0,0.0,1,2,0,0,False,16,False,False,France,1
penziontalisman.sk,iOptics s.r.o.,4.0,3.0,Let's Encrypt,46,3580732753,1,1,1,0,0,29134,200,nginx,3.57,0.33,0.61,0.0,0.0,2,2,0,0,False,17,False,False,Czechia,0
baramont.sk,"Webglobe, a.s.",4.0,4.0,Let's Encrypt,85,772035755,1,1,1,0,1,24940,200,Apache/2,3.28,0.27,0.64,0.0,0.0,1,2,0,0,False,10,False,False,Germany,0
balonovysen.sk,"Webglobe, a.s.",4.0,2.0,Let's Encrypt,83,3283482660,1,1,1,1,1,48689,200,nginx,3.38,0.36,0.57,0.0,0.0,1,2,0,0,False,13,False,False,Slovakia,0
regattaslovensko.sk,Gransy s.r.o.,4.0,3.0,Google Trust Services,77,2890108799,2,0,0,0,0,13335,200,cloudflare,3.47,0.32,0.63,0.0,0.0,1,3,0,0,False,18,True,False,Canada,1
hotelmostslavy.sk,Websupport s.r.o.,4.0,1.0,Let's Encrypt,68,621391773,1,1,1,0,0,51013,200,openresty,3.45,0.29,0.65,0.0,0.0,1,4,0,0,False,16,False,False,Slovakia,0
autoskolatymczak.sk,"Webglobe, a.s.",4.0,1.0,Let's Encrypt,16,3283482645,1,1,1,1,1,48689,200,nginx,3.43,0.37,0.58,0.0,0.0,2,3,0,0,False,18,False,False,Slovakia,0
pre-deti.sk,"WebHouse, s.r.o.",4.0,3.0,Let's Encrypt,33,1450111967,1,1,1,0,1,29405,200,Apache,3.28,0.27,0.55,0.0,0.09,1,2,0,1,False,10,False,False,Slovakia,0
rayray.sk,"ACTIVE 24, s.r.o.",4.0,3.0,Google Trust Services,48,2728364086,2,1,1,0,1,13335,200,cloudflare,2.5,0.44,0.44,0.0,0.0,2,2,0,0,False,8,False,False,Canada,1
liujoslovakia.sk,Gransy s.r.o.,4.0,3.0,Let's Encrypt,73,3304529492,1,0,0,0,0,41564,200,Apache,3.25,0.44,0.5,0.0,0.0,2,2,0,0,False,15,True,False,United States,1
dope-snowslovakia.sk,Gransy s.r.o.,3.0,3.0,Let's Encrypt,87,2665349694,1,0,0,0,0,63119,200,Apache,3.65,0.35,0.55,0.0,0.05,2,3,0,1,False,19,True,False,United States,1
realitybemi.sk,"Webglobe, a.s.",4.0,3.0,Let's Encrypt,77,3107704933,1,1,1,0,0,43541,200,Apache/2.4.41 (Ubuntu),3.52,0.43,0.5,0.0,0.0,2,2,0,0,False,13,False,False,Czechia,0
basystem.sk,"Webglobe, a.s.",4.0,3.0,Let's Encrypt,61,3560513652,1,1,1,1,1,48689,200,nginx,3.03,0.27,0.64,0.0,0.0,1,2,0,0,False,10,False,False,Slovakia,0
coseshop-slovensko.sk,Gransy s.r.o.,3.0,3.0,Google Trust Services,54,2890119301,2,0,0,0,0,13335,200,cloudflare,3.27,0.29,0.62,0.0,0.05,1,3,0,1,False,20,True,False,Canada,1
polenesk.sk,Gransy s.r.o.,3.0,3.0,Google Trust Services,61,1746219009,7,0,0,0,0,13335,200,cloudflare,2.91,0.27,0.64,0.0,0.0,1,2,0,0,False,10,False,True,Canada,1
beautyschool.sk,"WebHouse, s.r.o.",4.0,3.0,ZeroSSL,55,3108035365,1,1,1,0,0,43541,200,nginx,3.64,0.4,0.53,0.0,0.0,3,3,0,0,False,14,False,False,Czechia,0
bodimex.sk,"SWAN, a. s.",4.0,3.0,None,0,3645589393,1,1,1,0,0,5578,200,Apache,3.32,0.3,0.6,0.0,0.0,1,2,0,0,False,9,False,False,Slovakia,0
028.sk,Gransy s.r.o.,4.0,3.0,Let's Encrypt,40,649354775,1,0,0,0,0,9009,200,nginx,2.58,0.0,0.33,0.5,0.0,0,2,3,0,False,5,False,False,Hong Kong,1
dastan.sk,"Computer and Network Systems, spol. s r.o.",4.0,3.0,Let's Encrypt,37,88859534,1,1,1,1,1,24940,200,nginx,2.73,0.22,0.67,0.0,0.0,1,2,0,0,False,8,False,False,Germany,0
gymsharkskeurope.sk,Gransy s.r.o.,3.0,3.0,Let's Encrypt,56,2783418931,1,0,0,0,0,58065,200,Apache,3.54,0.32,0.63,0.0,0.0,2,4,0,0,False,18,True,False,United States,1
3trade.sk,"WebCreators, s. r. o.",4.0,3.0,Let's Encrypt,47,3248704794,1,1,1,1,1,29405,200,nginx,3.17,0.22,0.56,0.11,0.0,1,2,1,0,False,8,False,False,Slovakia,0
cicmany-ski.sk,"Webglobe, a.s.",4.0,2.0,Let's Encrypt,71,3560513613,1,1,1,1,1,48689,200,Microsoft-IIS/10.0,3.24,0.29,0.57,0.0,0.07,1,2,0,1,False,13,False,False,Slovakia,0
penzionkorytnacka.sk,"DSI DATA, a. s.",4.0,3.0,Let's Encrypt,64,1347932299,1,1,1,0,0,35328,200,Apache,3.65,0.35,0.6,0.0,0.0,2,2,0,0,False,19,False,False,Slovakia,0
moyo.sk,Websupport s.r.o.,4.0,3.0,Let's Encrypt,48,3248704931,1,1,1,1,1,29405,200,nginx,2.52,0.43,0.43,0.0,0.0,3,2,0,0,False,6,False,False,Slovakia,0
upjs.sk,"WEDOS Internet, a.s.",4.0,3.0,GEANT Vereniging,224,2663714896,1,1,1,0,1,2607,200,Apache/2.4.62 (AlmaLinux) OpenSSL/3.2.2,2.52,0.14,0.71,0.0,0.0,1,3,0,0,False,6,False,False,Slovakia,0
bsetcom.sk,Websupport s.r.o.,4.0,3.0,Let's Encrypt,29,621391772,1,1,1,0,0,51013,200,openresty,3.12,0.2,0.7,0.0,0.0,1,2,0,0,False,9,False,False,Slovakia,0
vrable.sk,"WEBY GROUP, s.r.o.",4.0,3.0,None,53,1383588041,1,1,1,0,1,5578,0,Apache,3.17,0.22,0.67,0.0,0.0,1,2,0,0,False,8,False,False,Slovakia,0
smartmallsk.sk,Gransy s.r.o.,3.0,3.0,Let's Encrypt,45,1296984067,1,1,1,1,1,15685,500,None,2.9,0.14,0.79,0.0,0.0,1,4,0,0,False,13,False,True,Czechia,1
hotelzobor.sk,"Webglobe, a.s.",4.0,3.0,Let's Encrypt,62,3560513617,1,1,1,1,1,48689,200,nginx,3.33,0.31,0.62,0.0,0.0,1,2,0,0,False,12,False,False,Slovakia,0
jordantenisky.sk,Gransy s.r.o.,4.0,3.0,Google Trust Services,44,1746214913,7,0,0,0,0,13335,200,cloudflare,3.62,0.31,0.62,0.0,0.0,1,2,0,0,False,15,True,False,Canada,1
merrelleshopsk.sk,Gransy s.r.o.,4.0,3.0,Let's Encrypt,33,3304430040,1,0,0,0,0,41564,200,Apache,3.18,0.24,0.71,0.0,0.0,1,3,0,0,False,16,True,True,Slovakia,1
cossk.sk,Gransy s.r.o.,4.0,3.0,Let's Encrypt,56,3301189236,1,0,0,0,0,58065,200,Apache,2.16,0.12,0.75,0.0,0.0,1,3,0,0,False,7,False,True,France,1
propetbratislava.sk,NETIM,4.0,3.0,Google Trust Services,87,2890117599,2,0,0,0,0,13335,403,cloudflare,3.58,0.32,0.63,0.0,0.0,1,3,0,0,False,18,True,False,Canada,1
badas.sk,"Slovak Telekom, a.s.",4.0,3.0,None,0,1442346079,1,1,1,0,0,5578,200,Apache,2.5,0.25,0.62,0.0,0.0,1,2,0,0,False,7,False,False,Slovakia,0
bibgastro.sk,Websupport s.r.o.,4.0,3.0,Let's Encrypt,19,621391772,1,1,1,0,0,51013,200,openresty,3.25,0.25,0.67,0.0,0.0,1,3,0,0,False,11,False,False,Slovakia,0
gloriapalac.sk,"Webglobe, a.s.",4.0,3.0,Let's Encrypt,80,1959493833,1,1,1,1,1,24940,200,nginx,3.32,0.36,0.57,0.0,0.0,2,2,0,0,False,13,False,False,Germany,0
guesssk.sk,Gransy s.r.o.,4.0,3.0,Let's Encrypt,39,3301189283,1,0,0,0,0,58065,200,Apache,2.32,0.2,0.7,0.0,0.0,2,4,0,0,False,9,False,True,France,1
barbakan-trnava.sk,EXO TECHNOLOGIES spol. s r.o.,4.0,3.0,None,0,1559297503,1,1,1,0,0,29405,200,None,3.08,0.28,0.61,0.0,0.06,1,3,0,1,False,17,False,False,Slovakia,0
skitelgart.sk,Websupport s.r.o.,4.0,2.0,Let's Encrypt,32,621391803,1,1,1,0,0,51013,200,openresty,3.24,0.23,0.69,0.0,0.0,1,2,0,0,False,12,False,False,Slovakia,0
bajex.sk,Websupport s.r.o.,4.0,2.0,Let's Encrypt,68,621391795,1,1,1,0,0,51013,200,openresty,3.0,0.25,0.62,0.0,0.0,1,2,0,0,False,7,False,False,Slovakia,0
jana-bendova.sk,"Webglobe, a.s.",4.0,3.0,Let's Encrypt,71,3645054580,1,1,1,1,1,5578,200,nginx,3.46,0.33,0.53,0.0,0.07,1,2,0,1,False,14,False,False,Slovakia,0
oxyland.sk,"ACTIVE 24, s.r.o.",4.0,3.0,Let's Encrypt,77,621391813,1,1,1,0,1,51013,200,openresty,3.32,0.3,0.6,0.0,0.0,1,2,0,0,False,9,False,False,Slovakia,0
svetstudni.sk,Websupport s.r.o.,4.0,2.0,Let's Encrypt,70,621391649,1,1,1,0,0,51013,200,openresty,3.18,0.23,0.69,0.0,0.0,1,3,0,0,False,12,False,False,Slovakia,0
bhydroservis.sk,"Webglobe, a.s.",4.0,1.0,Let's Encrypt,36,3645054555,1,1,1,1,0,5578,200,nginx,3.46,0.27,0.67,0.0,0.0,1,2,0,0,False,14,False,False,Slovakia,0
snowparadise.sk,"CNC, a.s.",4.0,3.0,Let's Encrypt,69,3284759670,1,1,1,0,0,24940,200,Apache/2.4.25 (Debian),3.46,0.33,0.6,0.0,0.0,1,2,0,0,False,14,False,False,Germany,0
reebok-sk.sk,Gransy s.r.o.,4.0,3.0,Let's Encrypt,71,2665349679,1,0,0,0,0,63119,200,Apache,2.86,0.25,0.58,0.0,0.08,2,2,0,1,False,11,False,True,United States,1
